job_position_name,matched_score,Cosine_TFIDF,Cosine_Semantic,Cosine_Hybrid,Cosine_Objective_Fit,Effective_Experience_Years,Semantic_x_Experience,flag_entry_level,Processed_CV,Processed_JD,Experience_Penalty
Senior Software Engineer,0.85,0.5777470313932245,0.65380883,0.613431589795889,0.5348116755485535,6.7,4.38051917552948,True,coca cola big data analyst yrs technical support troubleshoot collaboration documentation system monitor software deployment training mentorship industry trend field visit technical support troubleshoot collaboration documentation system monitor software deployment training mentorship industry trend field visit tech electronic big data hadoop hive python mapreduce spark java machine learning cloud hdfs yarn core java data science cplusplus datum structure dbms rdbms informatica talend amazon redshift microsoft azure big datum big data analytic database warehouse manager experience kind datum cloud infrastructure service acquainted currently search offer development,senior software engineer technical support troubleshoot collaboration documentation system monitor software deployment training mentorship industry trend field visit computer science engineering,5.7
Machine Learning (ML) Engineer,0.75,0.8207961447865512,0.7756064,0.7199442406650998,0.5656347274780273,6.8,5.274123477935791,False,bib consultancy business analyst yrs machine learn leadership cross functional collaboration strategy development ml nlp infrastructure prototype transformation ml system design algorithm research application development dataset selection ml test statistical analysis ml nlp text representation datum pipeline design statistical datum analysis model training collaboration research report algorithm analysis machine learn leadership cross functional collaboration strategy development ml nlp infrastructure prototype transformation ml system design algorithm research application development dataset selection ml test statistical analysis ml nlp text representation datum pipeline design statistical datum analysis model training collaboration research report algorithm analysis math science statistic mathematics statistics data analysis datum analytic business analysis sas powerbi tableau datum visualization business analytic machine learn datum analysis business analysis machine learning,machine learning ml engineer machine learn leadership cross functional collaboration strategy development ml nlp infrastructure prototype transformation ml system design algorithm research application development dataset selection ml test statistical analysis ml nlp text representation datum pipeline design statistical datum analysis model training collaboration research report algorithm analysis computer science engineering,1.7999999999999998
"Executive/ Senior Executive- Trade Marketing, Hygiene Products",0.416666667,0.5074118952537459,0.7410843,0.6688307702857723,0.48055097803859315,8.1,6.002782648801803,False,axis bank limit software developer machine learn engineer yrs trade marketing executive brand visibility sale target field marketing campaign product distribution brand head excel kpi tracking trade marketing executive brand visibility sale target field marketing campaign product distribution brand head excel kpi track tech electronic telecommunication software development machine learn deep learn risk assessment requirement gathering application support javascript python docker html hive css cplusplus unify payment interface risk prediction big data spark pyspark,executive senior executive trade marketing hygiene product brand promotion campaign management field supervision merchandise promotional trade marketing trade marketing executive brand visibility sale target field marketing campaign product distribution brand head excel kpi tracking master business administration mba,5.1
Business Development Executive,0.7600000000000001,0.22793994427730166,0.6231472,0.5619177975874174,0.464301198720932,13.8,8.599431216716766,True,accountant yrs account receivable clerk yrs mortgage underwriter yrs commercial auto underwriter yrs personal auto underwriter yrs claim examiner yrs apparel source quality garment source reliable partner buyer vendor apparel source quality garment source reliable partner buyer vendor computer application specialist certificate program computer application account payable account receivables account payable account receivable administrative function trial balance banking budget bi closing computer application credit client customer service datum entry delivery drive email insurance inventory ledger access excel outlook powerpoint word mortgage loan enterprise policy quickbook sale sale report telecommunication phone workflow write account receivables banking account account payable credit card reconcile commission report credit check customer service international travel datum entry account receivable cash customer inventory report problem solve mortgage process analytical aptitude credit report customer commercial auto underwriting datum entry application review customer personal auto underwriting datum entry policy review customer service training medical review datum entry document design customer service performance obtain pace business office demand organizational technical utilize attribute,business development executive type skill ieltsinternet browse online work apparel source quality garment source reliable partner buyer vendor bachelor honor,12.8
Senior iOS Engineer,0.65,0.4360357557521641,0.69319963,0.6290245451361768,0.4075353145599365,18.5,12.824193239212036,False,staff accountant yrs senior accountant yrs tax analyst yrs staff accountant yrs staff auditor yrs ios lifecycle requirement analysis native framework ios development api integration technical ui design performance optimization feature collaboration bug fix code translation high performance development task management cross collaboration code quality ios lifecycle requirement analysis native framework ios development api integration technical ui design performance optimization feature collaboration bug fix code translation high performance development task management cross collaboration code quality bachelor business administration account analytical reasoning compliance testing time management public private accounting accounting accounting system account payable account receivable administrative ar billing close client client documentation financial financial report preparation financial report preparation financial statement fix asset manage end closing policy record report research sale tax taxis tax return annual report end collection account receivable financial report ar age customer query sale use tax audits financial statement gaap asset liability capital account accounting control audits sale tax tax return business license annual report tax audits financial reporting fix asset sale tax cash projection general ledger accounting audit procedure substantive test internal accounting test compliance audit program,senior io engineer ios ios app developer ios application development ios development mobile app developer ios native io swift ios swift ui ios lifecycle requirement analysis native framework ios development api integration technical ui design performance optimization feature collaboration bug fix code translation high performance development task management cross collaboration code quality bachelor science bsc computer science,14.5
AI Engineer,0.85,0.3516831113344094,0.6825919,0.614340757267025,0.5081252455711365,19.5,13.310542345046997,True,engineering system installer yrs technician qa tester yrs installation service technician yrs machine learn design datum analysis model training ai integration innovation cross functional collaboration model deployment documentation analytical collaboration machine learn design datum analysis model training ai integration innovation cross functional collaboration model deployment documentation analytical collaboration bachelor degree associate degree electronic communication engineering technology software development microsoft application network security network hardware software installation configuration troubleshoot remote desktop help desk management verbal technical support leadership programming language tech support windows mac os wiring wire spice cat cat cat coaxial management voip tcp ipsec atm ipx dns bind dhcp hsrp lan wan architecture application development voice telephone inventory management microsoft application windows application mac os ios network router cisco asa firewall juniper net screen lan wans cloud experience microsoft application window mac os linux web development customer support technical support network administration inventory management secure specialist desktop support network administration database administrator technical support specialist grow microsoft certification technical aptitude network window mac os apple android ios web development application development linux microsoft application manage testing client support help desk technical support troubleshooting leadership benefit work,ai engineer python java tensorflow pytorch scikit learn machine learn design datum analysis model training ai integration innovation cross functional collaboration model deployment documentation analytical collaboration bachelor master degree computer science engineering field,19.5
Senior iOS Engineer,0.65,0.6393572506151499,0.786127,0.7118204939240352,0.48055097803859315,0.7,0.5502888798713683,False,remiro amio intern yrs ios lifecycle requirement analysis native framework ios development api integration technical ui design performance optimization feature collaboration bug fix code translation high performance development task management cross collaboration code quality ios lifecycle requirement analysis native framework ios development api integration technical ui design performance optimization feature collaboration bug fix code translation high performance development task management cross collaboration code quality tech machine learn linear regression ridge regression lasso regression tableau time series analysis,senior io engineer ios ios app developer ios application development ios development mobile app developer ios native io swift ios swift ui ios lifecycle requirement analysis native framework ios development api integration technical ui design performance optimization feature collaboration bug fix code translation high performance development task management cross collaboration code quality bachelor science bsc computer science,-10.889999999999999
Senior iOS Engineer,0.65,0.5065202825545316,0.79712766,0.7081939064444522,0.48055097803859315,20.5,16.34111711382866,False,engineer technician yrs instrument technician yrs project manager assistance yrs ios lifecycle requirement analysis native framework ios development api integration technical ui design performance optimization feature collaboration bug fix code translation high performance development task management cross collaboration code quality ios lifecycle requirement analysis native framework ios development api integration technical ui design performance optimization feature collaboration bug fix code translation high performance development task management cross collaboration code quality bachelor science electrical engineering maintenance corrective maintenance documentation industrial machinery preventive maintenance sensor biotechnology electrical mechanical estimation hydraulic mechanical technician pneumatic project manager sop manufacturing process apqp assembly circuit board dmm electrical test esd article inspection inspection medical device oscilloscope production process schematic soldering surface mount test engineer hole wire calibration control system packaging process control sensor temperature humidity control system design electrical engineer engineer entry ieee mechanical electrical engineer testing training electrical engineering public relation electrical test soldering wiring troubleshooting calibration troubleshoot preventive maintenance installation project estimation corrective maintenance preventive maintenance installation spanish,senior io engineer ios ios app developer ios application development ios development mobile app developer ios native io swift ios swift ui ios lifecycle requirement analysis native framework ios development api integration technical ui design performance optimization feature collaboration bug fix code translation high performance development task management cross collaboration code quality bachelor science bsc computer science,16.5
Mechanical Engineer,0.55,0.2686348894376974,0.6987722,0.6186200600258838,0.4171373248100281,7.1,4.961282563209534,False,amz loan mortgage erc analytic associate analyst yrs machinery maintenance troubleshooting report preparation log maintenance machinery maintenance troubleshooting report preparation log maintenance tech electronic telecommunication python machine learn mysql datum mining deep learning datum analysis computer vision flask api predictive modeling aws scikit learn numpy statistical analysis multivariate analysis decision tree random forest xgboost nlp datum analysis employee satisfaction hr collaboration,mechanical engineer maintenance troubleshoot mechanical machinery maintenance troubleshooting report preparation log maintenance bachelor science bsc mechanical engineering diploma mechanical,5.1
Business Development Executive,0.383333333,0.4067311045148759,0.7204615,0.6457016794193398,0.48055097803859315,7.5,5.403461158275604,True,daffodil software software developer yrs apparel source quality garment source reliable partner buyer vendor apparel source quality garment source reliable partner buyer vendor bca mca computer computer django python relational database restapi github jira postgresql software development debug machine learn natural language processing artificial intelligence datum analysis docker tornado software developer project management develop designing optimize automation script cron manage database conflict execute solution,business development executive type skill ieltsinternet browse online work apparel source quality garment source reliable partner buyer vendor bachelor honor,6.5
